rMAGs,Completeness (%),Contamination (%),EGS (Mbp),group,phylum,class,order,family,genus
ERR2762132_bin.61,99.12914935,0.502873563,4.385631177,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter
ERR2762132_bin.64,99.59839357,0.200803213,3.924591355,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__GCA-2746425,g__GCA-2746425
ERR2762132_bin.66,97.31741972,2.31884058,4.541132703,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Halioglobus
ERR2762132_bin.67,97.48550725,2.210144928,3.752719855,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Haliea
ERR2762132_bin.7,97.82003711,2.922077922,3.154921545,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas
ERR2762132_bin.71,87.55790746,5.086580087,2.892913171,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas
ERR2762132_bin.73,92.31543624,1.454138702,2.398699588,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter_A
ERR2762132_bin.8,89.94546967,1.29296453,4.476519768,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella
ERR2762132_bin.9,82.37666734,4.149904215,4.564254272,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter
ERR2762133_bin.10,95.49418605,0.968992248,1.987923248,Marine,Proteobacteria,c__Gammaproteobacteria,o__JAGOUU01,f__JAGOUU01,g__
ERR2762133_bin.14,97.91031227,1.604938272,2.339124393,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__Porticoccus
ERR2762133_bin.18,99.49494949,0.757575758,2.838968511,Marine,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Rhodoglobus
ERR2762133_bin.21,100,1.111111111,7.436190659,Marine,Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Gimesia
ERR2762133_bin.25,99.43820225,1.966292135,3.858700029,Marine,Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Balneola
ERR2762133_bin.27,83.10344828,0,5.098035145,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter
ERR2762133_bin.30,98.81738174,1.87883074,4.87964354,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Arenibacter
ERR2762133_bin.7,92.50541126,2.770562771,3.03133751,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Maricaulis
ERR2762133_bin.8,99.42022263,0.91991342,3.462685838,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas
ERR2762133_bin.9,82.54825303,1.854395604,2.986859117,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter
ERR315858_bin.16,97.54658385,0,2.051501878,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__UBA1172,g__UBA1172
ERR315858_bin.2,78.34,1.466666667,1.870207512,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__CACIJG01
ERR315859_bin.17,78.24507422,4.8,1.898395238,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O3
ERR315859_bin.20,77.59742143,1.795298687,2.309342742,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Luminiphilus
ERR315859_bin.8,79.73333333,2.4,1.862554952,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1
ERR315860_bin.10,91.71195652,2.038043478,1.985232356,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Synechococcus_C
ERR315860_bin.13,94.82952381,1.333333333,1.867543802,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA8317,f__UBA8317,g__UBA8317
ERR315861_bin.3,80.71311858,1.48225957,3.795410951,Marine,SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__JCVI-SCAAA005
ERR315861_bin.9,86.36197384,1.383981154,2.029602194,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316
ERR315863_bin.10,97.02898551,1.028985507,1.868846879,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__RS24,g__Micropelagos
ERR315863_bin.11,89.75862069,0.528735632,1.74154844,Marine,Proteobacteria,c__Gammaproteobacteria,o__UBA4575,f__UBA4575,g__UBA1858
ERR315863_bin.12,82.18390805,1.724137931,0.720895591,Marine,Patescibacteria,c__Paceibacteria,o__UBA9983_A,f__UBA2100,g__UBA2100
ERR315863_bin.16,81.10950188,3.375668449,1.729236026,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA11891
ERR315863_bin.18,99.47598253,0.655021834,2.511897524,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309
ERR315863_bin.19,97.58064516,2.616487455,2.143559264,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UBA11663
ERR315863_bin.2,84.50509461,1.091703057,2.458917298,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309
ERR315863_bin.22,93.71584699,1.639344262,1.568018832,Marine,Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__UBA8296
ERR315863_bin.24,94.74335189,1.462178173,3.409593674,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__DSM-6294,g__Oleibacter
ERR315863_bin.29,95.39130435,1.086956522,1.737755744,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__RS24,g__UBA7378
ERR315863_bin.31,96.62162162,2.702702703,1.354299248,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__DSM-45221,g__GCA-2690565
ERR315863_bin.32,75.84459459,0.367215041,1.697816924,Marine,Verrucomicrobiota,c__Kiritimatiellae,o__Kiritimatiellales,f__Pontiellaceae,g__UBA1859
ERR315863_bin.33,89.32578972,5.509193777,2.185161051,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316
ERR315863_bin.34,84.62837838,3.74559342,1.797282587,Marine,Verrucomicrobiota,c__Kiritimatiellae,o__Kiritimatiellales,f__Pontiellaceae,g__UBA1859
ERR315863_bin.35,82.16204465,2.481143311,1.962007333,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__HIMB100
ERR315863_bin.7,92.77777778,0,2.346356048,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__TMED48
ERR318618_bin.1,96.48411089,1.149425287,3.358591136,Marine,Planctomycetota,c__Planctomycetia,o__Pirellulales,f__UBA1268,g__UBA1268
ERR318618_bin.12,87.86764706,4.282407407,1.836288182,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MS024-2A
ERR318618_bin.17,81.61341436,2.472804973,2.636306358,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__LGRT01
ERR318618_bin.22,75.73628791,1.716171617,1.521312373,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA7446
ERR318619_bin.1,86.05072464,5.583003953,1.57109784,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Prochlorococcus_A
ERR318620_bin.13,94.86940299,2.23880597,3.006966101,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__UBA2165,g__TMED23
ERR318620_bin.18,96.72131148,0.546448087,1.757134966,Marine,Bacteroidota,c__Bacteroidia,o__NS11-12g,f__UBA9320,g__MED-G17
ERR318620_bin.2,84.29121484,2.475247525,1.729546159,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA7446
ERR318620_bin.20,91.4874552,2.150537634,1.821138862,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__TMED14
ERR318620_bin.21,85.75098814,1.195652174,3.331988046,Marine,Proteobacteria,c__Alphaproteobacteria,o__Thalassobaculales,f__Thalassobaculaceae,g__UBA7326
ERR318620_bin.5,85.57556936,4.347826087,1.45746664,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_B,f__TMED25,g__TMED25
ERR4245119_bin.2,77.22,3.24,1.494166072,Soil,Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TA-21
ERR4678562_bin.2,92.01378058,3.704850361,2.870778615,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Melaminivora
ERR4678562_bin.42,88.39563863,3.20728808,3.241375609,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ottowia
ERR4678562_bin.5,85.39803315,2.898505539,1.816444816,WWTP,Firmicutes,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister
ERR4678565_bin.11,93.0794702,0.165562914,1.709435678,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_I
ERR4678565_bin.16,96.10062893,1.289308176,2.029213946,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus
ERR4678565_bin.24,91.57828283,2.777777778,2.222598589,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus
ERR4678565_bin.29,89.71113262,2.476737822,2.651551545,WWTP,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__JAGPKJ01
