rMAGs,Completeness (%),Contamination (%),EGS (Mbp),group,phylum,class,order,family,genus,avg_rpkm
ERR2683215_bin.1,84.56959707,2.892011834,2.677205501,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,0.291503273
ERR2683215_bin.10,81.42453164,0.406504065,1.789405655,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter,0.183574866
ERR2683215_bin.14,75.3739135,4.220545977,2.46483156,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_C,0.114598888
ERR2683215_bin.4,87.9355302,2.399983604,6.20314945,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Achromobacter,0.103749741
ERR2683215_bin.6,87.49764306,0.591900312,4.226973919,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Bordetella,0.059887427
ERR2683272_bin.10,82.35947712,5.882352941,2.262010408,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,0.179445781
ERR2683272_bin.14,99.34640523,1.307189542,2.611222283,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,0.558831729
ERR2683272_bin.17,78.97100721,0.653594771,2.101295418,WWTP,Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanospirillum,0.037444701
ERR2683272_bin.20,86.84196264,3.335466736,2.592270621,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,0.486860435
ERR2683272_bin.21,96.54982363,0,3.137417435,WWTP,Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,g__Desulfobulbus,0.788071996
ERR2683272_bin.24,84.14752916,2.334098032,4.633810434,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Rahnella,0.260987176
ERR2683272_bin.25,89.19936373,4.471544715,1.706495256,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter,1.271704576
ERR2683272_bin.27,89.17240355,1.436781609,2.535050665,WWTP,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,0.594551242
ERR2683272_bin.30,80.71895425,0,1.83695021,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,0.092859469
ERR2683272_bin.34,97.41935484,0.073313783,3.315487999,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA7703,0.171198026
ERR2683272_bin.7,89.24731183,3.897849462,1.635935318,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFEL01,0.227857088
ERR2683272_bin.9,89.50903837,5.338785047,3.363318728,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ottowia,1.177084859
ERR2762132_bin.1,85.5646448,2.353294558,4.208006804,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter,0.004041291
ERR2762132_bin.14,99.04942966,0.190114068,3.461510832,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Ulvibacter,0.014159695
ERR2762132_bin.18,97.97657082,0.678913738,3.880351989,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ascidiaceihabitans,0.014088831
ERR2762132_bin.19,84.07575758,6.801242236,3.509486861,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Parvibaculaceae,g__Parvibaculum,0.013271761
ERR2762132_bin.2,100,0.297619048,6.151583715,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Cyclobacterium,0.014283056
ERR2762132_bin.20,90.76687932,0.63973064,3.020330831,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Jannaschia,0.007929026
ERR2762132_bin.21,98.99882214,1.504884639,3.045180026,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Methylophagaceae,g__Methylophaga,0.015501549
ERR2762132_bin.22,97.43975904,4.155964517,4.150134186,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola,0.014870046
ERR2762132_bin.23,97.8,0.2,2.977433681,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__,0.006289775
ERR2762132_bin.25,79.40208537,0.448028674,3.758614069,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__Owenweeksia,0.002474687
ERR2762132_bin.29,96.44507308,0.330033003,3.094792882,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Winogradskyella,0.007778032
ERR2762132_bin.31,99.24863388,1.366120219,4.335169355,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,0.008514027
ERR2762132_bin.32,82.1786164,2.673492605,3.199640915,Marine,Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parasphingorhabdus,0.007949382
ERR2762132_bin.33,79.82811422,0.800120773,2.898469891,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae,g__Polycyclovorans,0.00700161
ERR2762132_bin.34,99.29328622,0.176678445,4.074459952,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,0.255392279
ERR2762132_bin.37,92.50639182,3.635346756,3.51641589,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,0.005845078
ERR2762132_bin.38,97.94918886,4.36026936,4.635745715,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Cognaticolwellia,0.024773215
ERR2762132_bin.39,81.06437509,0.725162068,4.079575387,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae,g__Thalassospira,0.104357243
ERR2762132_bin.4,98.89880952,0.892857143,4.402506746,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Roseivirga,0.012081722
ERR2762132_bin.40,90.41780097,1.346656217,4.604829766,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,0.011568635
ERR2762132_bin.41,86.24419653,4.177960098,2.85609347,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Yoonia,0.005163536
ERR2762132_bin.42,94.4275194,6.824595158,4.969732114,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Paraglaciecola,0.004924624
ERR2762132_bin.43,98.41945289,0.987841945,2.618572259,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Amylibacter,0.006126327
ERR2762132_bin.45,98.14176245,1.433189655,3.406326695,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_D,0.099162903
ERR2762132_bin.46,98.50746269,0.497512438,4.096600388,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Casp-alpha2,g__UBA1479,0.048416119
ERR2762132_bin.49,98.29854809,1.364942529,3.913683821,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Spongiibacteraceae,g__Marortus,0.008827305
ERR2762132_bin.50,85.72420635,6.200396825,6.393445008,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Dyadobacter,0.002840124
ERR2762132_bin.53,99.29292929,0.454545455,3.263043883,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pararhodobacter,0.031332937
ERR2762132_bin.54,91.67701863,2.826086957,2.835243236,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__UBA2705,0.040758738
ERR2762132_bin.56,92.38980757,0.98990821,3.719946407,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter,0.003860388
ERR2762132_bin.59,84.95310245,1.841491841,3.499250161,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudorhodobacter,0.003191576
ERR2762132_bin.6,91.16563147,3.188405797,2.751695558,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__UBA2020,g__CSBR16-224,0.011099679
ERR2762132_bin.61,99.12914935,0.502873563,4.385631177,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter,0.052445266
ERR2762132_bin.64,99.59839357,0.200803213,3.924591355,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__GCA-2746425,g__GCA-2746425,0.044006262
ERR2762132_bin.66,97.31741972,2.31884058,4.541132703,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Halioglobus,0.010577933
ERR2762132_bin.67,97.48550725,2.210144928,3.752719855,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Haliea,0.004817323
ERR2762132_bin.7,97.82003711,2.922077922,3.154921545,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,0.007805934
ERR2762132_bin.71,87.55790746,5.086580087,2.892913171,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,0.041299379
ERR2762132_bin.73,92.31543624,1.454138702,2.398699588,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter_A,0.005805582
ERR2762132_bin.8,89.94546967,1.29296453,4.476519768,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,0.01184797
ERR2762132_bin.9,82.37666734,4.149904215,4.564254272,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter,0.009292007
ERR2762133_bin.10,95.49418605,0.968992248,1.987923248,Marine,Proteobacteria,c__Gammaproteobacteria,o__JAGOUU01,f__JAGOUU01,g__,0.274812441
ERR2762133_bin.14,97.91031227,1.604938272,2.339124393,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__Porticoccus,0.046720378
ERR2762133_bin.18,99.49494949,0.757575758,2.838968511,Marine,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Rhodoglobus,0.024518154
ERR2762133_bin.21,100,1.111111111,7.436190659,Marine,Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Gimesia,0.272804809
ERR2762133_bin.25,99.43820225,1.966292135,3.858700029,Marine,Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Balneola,0.084877559
ERR2762133_bin.27,83.10344828,0,5.098035145,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter,0.070659966
ERR2762133_bin.30,98.81738174,1.87883074,4.87964354,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Arenibacter,0.024808861
ERR2762133_bin.7,92.50541126,2.770562771,3.03133751,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Maricaulis,0.044523142
ERR2762133_bin.8,99.42022263,0.91991342,3.462685838,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,0.041503741
ERR2762133_bin.9,82.54825303,1.854395604,2.986859117,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,0.091696061
ERR315858_bin.16,97.54658385,0,2.051501878,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__UBA1172,g__UBA1172,2.405090756
ERR315858_bin.2,78.34,1.466666667,1.870207512,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__CACIJG01,3.469367557
ERR315859_bin.17,78.24507422,4.8,1.898395238,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O3,0.62902278
ERR315859_bin.20,77.59742143,1.795298687,2.309342742,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Luminiphilus,0.351111214
ERR315859_bin.8,79.73333333,2.4,1.862554952,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1,0.379135182
ERR315860_bin.10,91.71195652,2.038043478,1.985232356,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Synechococcus_C,0.818906701
ERR315860_bin.13,94.82952381,1.333333333,1.867543802,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA8317,f__UBA8317,g__UBA8317,0.158870955
ERR315861_bin.3,80.71311858,1.48225957,3.795410951,Marine,SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__JCVI-SCAAA005,1.583671172
ERR315861_bin.9,86.36197384,1.383981154,2.029602194,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316,0.400833978
ERR315863_bin.10,97.02898551,1.028985507,1.868846879,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__RS24,g__Micropelagos,0.42338711
ERR315863_bin.11,89.75862069,0.528735632,1.74154844,Marine,Proteobacteria,c__Gammaproteobacteria,o__UBA4575,f__UBA4575,g__UBA1858,0.199951763
ERR315863_bin.12,82.18390805,1.724137931,0.720895591,Marine,Patescibacteria,c__Paceibacteria,o__UBA9983_A,f__UBA2100,g__UBA2100,0.06356206
ERR315863_bin.16,81.10950188,3.375668449,1.729236026,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA11891,0.210002624
ERR315863_bin.18,99.47598253,0.655021834,2.511897524,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309,3.205611675
ERR315863_bin.19,97.58064516,2.616487455,2.143559264,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UBA11663,0.334089572
ERR315863_bin.2,84.50509461,1.091703057,2.458917298,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309,0.410388342
ERR315863_bin.22,93.71584699,1.639344262,1.568018832,Marine,Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__UBA8296,0.162445531
ERR315863_bin.24,94.74335189,1.462178173,3.409593674,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__DSM-6294,g__Oleibacter,0.605084296
ERR315863_bin.29,95.39130435,1.086956522,1.737755744,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__RS24,g__UBA7378,0.526454785
ERR315863_bin.31,96.62162162,2.702702703,1.354299248,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__DSM-45221,g__GCA-2690565,0.933909122
ERR315863_bin.32,75.84459459,0.367215041,1.697816924,Marine,Verrucomicrobiota,c__Kiritimatiellae,o__Kiritimatiellales,f__Pontiellaceae,g__UBA1859,0.29671912
ERR315863_bin.33,89.32578972,5.509193777,2.185161051,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316,0.432911379
ERR315863_bin.34,84.62837838,3.74559342,1.797282587,Marine,Verrucomicrobiota,c__Kiritimatiellae,o__Kiritimatiellales,f__Pontiellaceae,g__UBA1859,0.587856688
ERR315863_bin.35,82.16204465,2.481143311,1.962007333,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__HIMB100,4.40038597
ERR315863_bin.7,92.77777778,0,2.346356048,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__TMED48,0.935003076
ERR318618_bin.1,96.48411089,1.149425287,3.358591136,Marine,Planctomycetota,c__Planctomycetia,o__Pirellulales,f__UBA1268,g__UBA1268,0.803518762
ERR318618_bin.12,87.86764706,4.282407407,1.836288182,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MS024-2A,0.892889785
ERR318618_bin.17,81.61341436,2.472804973,2.636306358,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__LGRT01,1.585452772
ERR318618_bin.22,75.73628791,1.716171617,1.521312373,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA7446,1.094129444
ERR318619_bin.1,86.05072464,5.583003953,1.57109784,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Prochlorococcus_A,47.38689962
ERR318620_bin.13,94.86940299,2.23880597,3.006966101,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__UBA2165,g__TMED23,0.245114292
ERR318620_bin.18,96.72131148,0.546448087,1.757134966,Marine,Bacteroidota,c__Bacteroidia,o__NS11-12g,f__UBA9320,g__MED-G17,0.319234077
