genome,completeness,contamination,length,N50
ERR2607395_bin.3.fa,90.25,3.46,2019902,4006
ERR2607395_bin.5.fa,95.24,3.04,2486208,7476
ERR2607395_bin.6.fa,81.19,2.78,2939810,3407
ERR2607395_bin.8.fa,58.07,0.0,1095023,3328
ERR2607402_bin.1.fa,82.72,4.25,1954756,2469
ERR2607410_bin.2.fa,89.33,7.44,1695182,8870
ERR2607410_bin.3.fa,93.17,3.46,2125630,7666
ERR2607410_bin.4.fa,88.99,6.74,1594983,3550
ERR2607410_bin.5.fa,96.19,2.61,1850348,23576
ERR2607410_bin.6.fa,81.71,2.91,1391903,2966
ERR2607410_bin.7.fa,58.23,0.56,1471079,2937
ERR2607410_bin.8.fa,66.58,1.12,1259959,4444
ERR2607426_bin.1.fa,92.34,2.5,2339806,43806
ERR2607426_bin.12.fa,54.81,0.0,1054090,2230
ERR2607426_bin.13.fa,73.87,0.29,1683131,6073
ERR2607426_bin.14.fa,91.4,3.76,2451656,7491
ERR2607426_bin.15.fa,74.99,4.58,1841224,3950
ERR2607426_bin.16.fa,86.14,2.57,2074285,5684
ERR2607426_bin.17.fa,92.86,1.21,1903228,14791
ERR2607426_bin.19.fa,80.72,6.14,1585054,3885
ERR2607426_bin.2.fa,95.83,1.96,3284190,8761
ERR2607426_bin.20.fa,71.98,4.03,2013589,3267
ERR2607426_bin.22.fa,66.29,1.89,1172300,2148
ERR2607426_bin.23.fa,98.64,3.58,1861337,8302
ERR2607426_bin.24.fa,91.17,4.42,3034495,6509
ERR2607426_bin.25.fa,91.35,1.28,1713078,10394
ERR2607426_bin.26.fa,80.2,3.7,2790658,3157
ERR2607426_bin.27.fa,71.95,2.23,1607343,4659
ERR2607426_bin.28.fa,71.18,2.39,1948153,3503
ERR2607426_bin.29.fa,88.14,5.07,1814665,9367
ERR2607426_bin.3.fa,77.59,0.0,2271181,13030
ERR2607426_bin.32.fa,77.59,3.45,1987020,7306
ERR2607426_bin.33.fa,91.76,3.42,2370601,8817
ERR2607426_bin.35.fa,74.43,3.46,2642696,6775
ERR2607426_bin.36.fa,65.95,3.09,1646590,2001
ERR2607426_bin.37.fa,97.31,1.2,1651522,12460
ERR2607426_bin.39.fa,66.27,2.75,1300886,2323
ERR2607426_bin.4.fa,89.11,0.12,1766717,16296
ERR2607426_bin.41.fa,85.19,2.13,1680330,13944
ERR2607426_bin.43.fa,61.42,2.26,1585894,2088
ERR2607426_bin.46.fa,68.87,2.44,2099093,2227
ERR2607426_bin.6.fa,94.57,5.14,2213718,9164
ERR2607426_bin.7.fa,86.26,2.24,1425684,4057
ERR2607426_bin.8.fa,100.0,6.27,1593670,8219
ERR2607430_bin.1.fa,96.64,2.37,1760998,8044
ERR2607430_bin.10.fa,92.4,2.28,1786971,11602
ERR2607430_bin.11.fa,62.25,1.92,1396301,2044
ERR2607430_bin.14.fa,91.01,1.72,2357690,14286
ERR2607430_bin.15.fa,87.35,0.63,1878745,5631
ERR2607430_bin.17.fa,94.22,6.49,1949262,4725
ERR2607430_bin.18.fa,93.35,1.69,3125657,12305
ERR2607430_bin.19.fa,95.82,1.4,2100502,44403
ERR2607430_bin.2.fa,93.93,1.12,1856260,34305
ERR2607430_bin.20.fa,75.0,0.0,2174530,6332
ERR2607430_bin.21.fa,91.8,5.92,1747448,4885
ERR2607430_bin.22.fa,58.03,0.0,2331506,4898
ERR2607430_bin.23.fa,61.01,0.19,756119,15304
ERR2607430_bin.24.fa,68.88,3.37,1718866,6070
ERR2607430_bin.25.fa,87.13,0.94,1709699,5330
ERR2607430_bin.26.fa,77.32,0.0,962070,5578
ERR2607430_bin.27.fa,88.21,1.22,2048510,12747
ERR2607430_bin.29.fa,91.73,0.37,2490502,17987
ERR2607430_bin.30.fa,62.66,0.0,2227971,2707
ERR2607430_bin.31.fa,100.0,2.6,1576649,5577
ERR2607430_bin.33.fa,82.98,5.54,2793010,4282
ERR2607430_bin.34.fa,99.15,0.43,2070690,73881
ERR2607430_bin.36.fa,85.54,3.59,1911950,6257
ERR2607430_bin.37.fa,83.42,3.63,1824074,3541
ERR2607430_bin.38.fa,94.14,2.62,2921023,11361
ERR2607430_bin.39.fa,79.68,2.72,1945805,2484
ERR2607430_bin.4.fa,68.49,2.56,1985528,2090
ERR2607430_bin.41.fa,67.96,2.76,1411611,2107
ERR2607430_bin.42.fa,64.48,2.31,3134641,3481
ERR2607430_bin.5.fa,71.0,1.72,1227486,5602
ERR2607430_bin.7.fa,100.0,0.0,2953999,51810
ERR2607430_bin.8.fa,99.51,1.23,2739782,47763
ERR2607430_bin.9.fa,98.88,7.46,3608531,32394
ERR2607435_bin.1.fa,71.02,0.0,1244432,2107
ERR2607435_bin.10.fa,80.65,3.56,2267703,3355
ERR2607435_bin.2.fa,92.58,5.78,1576112,7339
ERR2607435_bin.3.fa,69.99,3.16,1831289,1738
ERR2607435_bin.4.fa,93.48,2.0,1906580,8125
ERR2607435_bin.5.fa,70.17,2.17,2321663,3893
ERR2607435_bin.8.fa,63.12,0.71,1617352,1917
ERR2607438_bin.10.fa,99.78,0.25,6849778,144101
ERR2607438_bin.11.fa,69.12,1.72,1919547,3709
ERR2607438_bin.12.fa,88.34,3.19,2698173,11555
ERR2607438_bin.13.fa,86.03,1.36,2083097,3929
ERR2607438_bin.15.fa,75.07,2.71,2470047,4397
ERR2607438_bin.16.fa,85.57,2.24,1565716,3435
ERR2607438_bin.17.fa,83.39,0.69,1591365,7734
ERR2607438_bin.18.fa,56.82,0.0,1440892,3867
ERR2607438_bin.20.fa,87.19,3.37,1274391,6594
ERR2607438_bin.21.fa,82.12,4.35,2184728,4580
ERR2607438_bin.23.fa,93.82,3.73,2858878,3118
ERR2607438_bin.24.fa,63.79,1.72,1482847,1978
ERR2607438_bin.25.fa,92.96,1.87,1911987,11121
ERR2607438_bin.26.fa,83.45,3.36,1502322,4119
ERR2607438_bin.27.fa,92.39,3.14,1700039,6490
ERR2607438_bin.28.fa,90.12,5.32,1882499,3277
ERR2607438_bin.29.fa,62.87,1.44,1128629,3496
ERR2607438_bin.30.fa,95.86,2.48,1803836,7973
ERR2607438_bin.31.fa,88.92,5.49,1535753,5695
ERR2607438_bin.4.fa,93.42,5.13,2143409,4070
ERR2607438_bin.6.fa,79.71,5.13,2002812,2797
ERR2607438_bin.9.fa,89.65,1.18,1756711,11720
ERR2607441_bin.1.fa,69.83,2.59,2763685,8712
ERR2607441_bin.10.fa,78.17,2.95,1948565,6037
ERR2607441_bin.12.fa,68.24,3.48,2313874,4769
ERR2607441_bin.15.fa,87.73,2.36,2233476,17147
ERR2607441_bin.16.fa,55.17,0.0,1214972,5706
ERR2607441_bin.17.fa,87.65,3.53,1956142,3468
ERR2607441_bin.19.fa,90.77,4.59,1609792,7375
ERR2607441_bin.2.fa,59.48,1.72,2028310,23243
ERR2607441_bin.20.fa,64.66,1.72,3207116,11384
ERR2607441_bin.22.fa,56.9,0.0,1998017,7000
ERR2607441_bin.4.fa,75.93,4.54,1977462,3296
ERR2607441_bin.5.fa,67.24,0.0,1832704,5318
ERR2607441_bin.7.fa,76.33,3.12,4086759,5732
ERR2607441_bin.9.fa,87.44,6.48,4404461,4228
ERR2607471_bin.1.fa,77.59,2.59,2324633,6770
ERR2607471_bin.10.fa,81.38,3.87,1810498,2814
ERR2607471_bin.11.fa,93.11,3.47,1924958,11902
ERR2607471_bin.12.fa,80.01,2.18,1641558,3046
ERR2607471_bin.13.fa,66.89,1.08,2018288,4771
ERR2607471_bin.14.fa,60.81,0.63,866036,3472
ERR2607471_bin.15.fa,79.67,4.07,1454027,3455
ERR2607471_bin.16.fa,97.19,3.37,1602923,11658
ERR2607471_bin.17.fa,91.75,4.7,1778822,19807
ERR2607471_bin.19.fa,87.48,3.94,1948668,9493
ERR2607471_bin.2.fa,61.43,0.69,1558930,4820
ERR2607471_bin.21.fa,92.55,2.63,1644902,4669
ERR2607471_bin.3.fa,81.09,3.73,2293922,4089
ERR2607471_bin.4.fa,82.23,4.22,1757843,7544
ERR2607471_bin.5.fa,83.42,2.95,1751640,3402
ERR2607471_bin.6.fa,100.0,6.9,2426835,23442
ERR2607471_bin.8.fa,90.17,2.3,1997586,7174
ERR2683209_bin.1.fa,85.12,2.68,1567319,6962
ERR2683209_bin.12.fa,59.48,1.72,2583584,2742
ERR2683209_bin.14.fa,96.36,6.9,1597612,7459
ERR2683209_bin.15.fa,60.27,1.72,1914054,3398
ERR2683209_bin.19.fa,84.99,0.39,1581418,7296
ERR2683209_bin.2.fa,73.61,1.94,1746321,3681
ERR2683209_bin.20.fa,65.52,0.86,2012624,5481
ERR2683209_bin.24.fa,70.18,1.75,2214282,3159
ERR2683209_bin.25.fa,92.46,2.51,1933049,15920
ERR2683209_bin.26.fa,67.81,2.38,1460494,1985
ERR2683209_bin.27.fa,60.9,1.59,1437504,2944
ERR2683209_bin.28.fa,94.73,1.95,2243669,6828
ERR2683209_bin.29.fa,91.29,2.69,3942366,11109
ERR2683209_bin.3.fa,78.21,2.59,639707,7157
ERR2683209_bin.33.fa,91.55,1.17,1672865,5905
ERR2683209_bin.4.fa,73.22,2.56,2545822,6150
ERR2683209_bin.5.fa,86.53,4.58,2401944,5367
ERR2683209_bin.8.fa,91.39,6.44,2097408,7386
ERR2683215_bin.1.fa,84.57,2.89,2329580,6697
ERR2683215_bin.10.fa,81.42,0.41,1462938,37903
ERR2683215_bin.11.fa,58.04,1.46,2485843,5063
ERR2683215_bin.14.fa,75.37,4.22,1936251,2468
ERR2683215_bin.2.fa,67.4,3.45,1297780,4606
ERR2683215_bin.3.fa,80.22,4.56,3538450,5404
ERR2683215_bin.4.fa,87.94,2.4,5585686,13903
ERR2683215_bin.5.fa,72.91,3.2,2902029,7039
ERR2683215_bin.6.fa,87.5,0.59,3720394,21966
ERR2683272_bin.1.fa,71.14,1.25,1838540,2625
ERR2683272_bin.10.fa,82.36,5.88,1972567,8132
ERR2683272_bin.11.fa,59.56,0.16,1675807,2092
ERR2683272_bin.12.fa,67.9,2.66,1624953,2785
ERR2683272_bin.13.fa,89.59,4.75,1382011,5986
ERR2683272_bin.14.fa,99.35,1.31,2628066,32458
ERR2683272_bin.16.fa,72.28,2.3,1912756,3089
ERR2683272_bin.17.fa,78.97,0.65,1670260,5780
ERR2683272_bin.18.fa,95.88,0.5,2620858,18023
ERR2683272_bin.2.fa,71.07,3.32,1286397,4390
ERR2683272_bin.20.fa,86.84,3.34,2326266,7328
ERR2683272_bin.21.fa,96.55,0.0,3029171,18535
ERR2683272_bin.22.fa,71.45,2.31,1439477,5186
ERR2683272_bin.23.fa,78.05,3.42,2094654,5559
ERR2683272_bin.24.fa,84.15,2.33,3990249,7057
ERR2683272_bin.25.fa,89.2,4.47,1590248,5223
ERR2683272_bin.26.fa,91.18,6.28,2064264,9422
ERR2683272_bin.27.fa,89.17,1.44,2293045,5401
ERR2683272_bin.29.fa,82.05,0.0,1703574,3062
ERR2683272_bin.30.fa,80.72,0.0,1482767,22960
ERR2683272_bin.31.fa,98.47,2.18,2883894,6634
ERR2683272_bin.34.fa,97.42,0.07,3232295,17302
ERR2683272_bin.36.fa,97.19,8.92,6562195,5579
ERR2683272_bin.37.fa,70.69,3.45,2319860,5974
ERR2683272_bin.4.fa,76.24,2.59,1621083,4800
ERR2683272_bin.6.fa,90.16,1.13,2640463,5736
ERR2683272_bin.7.fa,89.25,3.9,1516938,5911
ERR2683272_bin.9.fa,89.51,5.34,3171197,6834
ERR4678562_bin.1.fa,76.11,0.99,2205176,3501
ERR4678562_bin.10.fa,88.32,3.21,1809215,10322
ERR4678562_bin.12.fa,63.17,2.34,2759799,2191
ERR4678562_bin.14.fa,84.68,4.13,2233269,5320
ERR4678562_bin.15.fa,99.1,1.2,1769798,23807
ERR4678562_bin.17.fa,85.97,3.69,2223322,5912
ERR4678562_bin.2.fa,92.01,3.7,2739376,35165
ERR4678562_bin.20.fa,88.9,4.54,1770394,3274
ERR4678562_bin.26.fa,79.82,2.53,1556728,5277
ERR4678562_bin.27.fa,66.11,1.75,1750745,2956
ERR4678562_bin.28.fa,63.61,0.86,1730835,2172
ERR4678562_bin.30.fa,97.06,2.74,1629053,9667
ERR4678562_bin.31.fa,65.52,1.72,1358425,3761
ERR4678562_bin.32.fa,80.71,3.9,1895366,3861
ERR4678562_bin.34.fa,74.38,3.18,1365738,4105
ERR4678562_bin.36.fa,89.94,4.93,1964946,5872
ERR4678562_bin.37.fa,54.31,0.0,1585255,2498
ERR4678562_bin.38.fa,74.52,3.1,2859135,3327
ERR4678562_bin.39.fa,79.36,5.15,2354986,3934
ERR4678562_bin.42.fa,88.4,3.21,2957131,14479
ERR4678562_bin.43.fa,95.97,2.99,1781303,8172
ERR4678562_bin.45.fa,80.91,4.13,1858662,5198
ERR4678562_bin.48.fa,67.98,1.88,1784110,2804
ERR4678562_bin.5.fa,85.4,2.9,1596170,2113
ERR4678562_bin.6.fa,90.08,1.12,1377953,9423
ERR4678562_bin.7.fa,77.9,3.01,1639274,4279
ERR4678562_bin.8.fa,68.45,3.57,1721698,2882
ERR4678562_bin.9.fa,67.94,1.85,1167905,3315
ERR4678565_bin.10.fa,76.46,3.85,1776461,3786
ERR4678565_bin.11.fa,93.08,0.17,1593768,7161
ERR4678565_bin.13.fa,75.07,1.6,1084263,2622
ERR4678565_bin.14.fa,86.86,7.19,1701402,4265
ERR4678565_bin.15.fa,71.26,0.0,2012917,2679
ERR4678565_bin.16.fa,96.1,1.29,1975230,15009
ERR4678565_bin.17.fa,91.87,5.78,1974619,4215
ERR4678565_bin.18.fa,97.82,1.53,2406970,6853
ERR4678565_bin.19.fa,83.78,4.36,1626193,8655
ERR4678565_bin.20.fa,63.95,1.87,1556819,2954
ERR4678565_bin.21.fa,80.29,4.57,1404420,2505
ERR4678565_bin.22.fa,68.48,2.11,1295253,4437
ERR4678565_bin.23.fa,90.21,4.42,3662322,3879
ERR4678565_bin.24.fa,91.58,2.78,2091957,10592
ERR4678565_bin.26.fa,64.22,1.5,1504769,4985
ERR4678565_bin.27.fa,55.45,0.86,1381452,1789
ERR4678565_bin.29.fa,89.71,2.48,2437652,7130
ERR4678565_bin.3.fa,77.11,2.23,2250620,3359
ERR4678565_bin.30.fa,85.76,4.45,2042061,4308
ERR4678565_bin.33.fa,84.03,2.36,1371675,5999
ERR4678565_bin.34.fa,96.27,6.05,2135496,5968
ERR4678565_bin.36.fa,82.04,4.01,1449117,4571
ERR4678565_bin.4.fa,96.64,4.92,1847509,6561
ERR4678565_bin.40.fa,91.67,3.97,2449000,6728
ERR4678565_bin.41.fa,95.96,0.83,1753292,16448
ERR4678565_bin.43.fa,94.44,3.32,2240370,3318
ERR4678565_bin.46.fa,92.77,2.61,1886035,12521
ERR4678565_bin.49.fa,87.16,2.97,2355376,7550
ERR4678565_bin.51.fa,57.89,0.79,1031568,3874
ERR4678565_bin.57.fa,56.83,0.04,1847339,2239
ERR4678565_bin.6.fa,88.87,5.71,2522527,5054
ERR4678565_bin.7.fa,82.74,3.21,2232164,4472
ERR4678565_bin.8.fa,91.29,5.77,1276312,10552
ERR4678565_bin.9.fa,54.31,0.0,2102123,2845
ERR4678591_bin.3.fa,96.92,4.37,2456630,7085
ERR4678597_bin.11.fa,86.18,3.69,2649721,4476
ERR4678597_bin.12.fa,78.45,0.0,1871938,5176
ERR4678597_bin.13.fa,81.76,1.37,2109749,4860
ERR4678597_bin.14.fa,63.79,1.72,1718058,3954
ERR4678597_bin.15.fa,84.3,2.59,1465552,1961
ERR4678597_bin.17.fa,81.97,2.68,2276128,7280
ERR4678597_bin.21.fa,84.05,3.07,1861496,7008
ERR4678597_bin.22.fa,81.15,5.87,2598495,4752
ERR4678597_bin.23.fa,85.63,1.99,1650826,5275
ERR4678597_bin.24.fa,56.17,0.7,1017635,9091
ERR4678597_bin.26.fa,88.29,3.74,2070573,4900
ERR4678597_bin.27.fa,54.66,0.0,1249295,2543
ERR4678597_bin.28.fa,72.04,3.82,2638582,5066
ERR4678597_bin.29.fa,77.59,2.59,2311540,6402
ERR4678597_bin.30.fa,88.09,1.01,2172320,12698
ERR4678597_bin.31.fa,88.7,3.49,3822353,7604
ERR4678597_bin.32.fa,85.49,2.11,1732522,5235
ERR4678597_bin.35.fa,75.5,0.59,2131675,4248
ERR4678597_bin.37.fa,75.51,4.53,1501932,2438
ERR4678597_bin.4.fa,84.52,2.5,2738358,5314
ERR4678597_bin.5.fa,59.04,0.42,1408446,1697
ERR4678597_bin.6.fa,65.67,0.0,1385236,3966
ERR4678597_bin.7.fa,88.14,0.85,1666629,12061
ERR4678597_bin.8.fa,64.14,0.65,1483755,2516
ERR4678597_bin.9.fa,78.53,5.36,2102066,2520
ERR4678611_bin.10.fa,66.99,3.12,2101182,4275
ERR4678611_bin.11.fa,93.95,1.91,2750895,9382
ERR4678611_bin.12.fa,92.26,3.41,3186729,19314
ERR4678611_bin.13.fa,91.63,7.84,2021628,7672
ERR4678611_bin.14.fa,94.15,3.6,3295005,7747
ERR4678611_bin.16.fa,90.16,6.16,2655160,13897
ERR4678611_bin.17.fa,71.28,3.22,2509888,5297
ERR4678611_bin.18.fa,68.01,1.91,2059917,4762
ERR4678611_bin.19.fa,72.32,2.18,1243588,3658
ERR4678611_bin.20.fa,77.32,3.24,1866107,4024
ERR4678611_bin.22.fa,87.77,3.42,2359555,8125
ERR4678611_bin.24.fa,83.68,3.83,2965765,5092
ERR4678611_bin.25.fa,85.91,3.45,2067880,7756
ERR4678611_bin.28.fa,67.55,0.0,2795943,6337
ERR4678611_bin.29.fa,66.24,1.24,1719385,4360
ERR4678611_bin.30.fa,83.87,1.24,1528950,2651
ERR4678611_bin.32.fa,68.51,3.63,1725492,2135
ERR4678611_bin.34.fa,91.33,2.72,1771841,13261
ERR4678611_bin.38.fa,90.74,4.37,1722557,6448
ERR4678611_bin.39.fa,94.15,1.08,1871849,22184
ERR4678611_bin.4.fa,87.02,4.18,2356834,8984
ERR4678611_bin.40.fa,58.82,1.69,522436,4756
ERR4678611_bin.41.fa,89.68,3.52,2214894,12375
ERR4678611_bin.42.fa,69.29,1.82,1651102,3139
ERR4678611_bin.43.fa,73.85,1.34,1834341,2471
ERR4678611_bin.45.fa,100.0,1.2,1826809,18601
ERR4678611_bin.47.fa,99.59,0.9,1700112,10633
ERR4678611_bin.48.fa,75.66,2.76,2208421,4492
ERR4678611_bin.49.fa,100.0,0.46,2616233,14622
ERR4678611_bin.5.fa,76.32,4.39,1697236,6254
ERR4678611_bin.50.fa,87.33,3.22,3192507,199460
ERR4678611_bin.52.fa,96.57,0.35,1556575,16273
ERR4678611_bin.53.fa,83.08,6.42,2897203,5586
ERR4678611_bin.57.fa,85.71,3.02,3037453,9457
ERR4678611_bin.6.fa,61.08,1.35,1002854,4103
ERR4678611_bin.60.fa,93.22,0.0,1591708,18432
ERR4678611_bin.62.fa,87.16,3.55,2346415,14770
ERR4678611_bin.64.fa,98.33,1.9,3451075,33785
ERR4678611_bin.66.fa,59.2,0.77,1406658,2316
ERR4678611_bin.8.fa,95.79,1.2,1888161,31216
ERR4678611_bin.9.fa,95.0,1.01,1902868,24782
ERR4678634_bin.1.fa,80.71,3.77,1879808,4815
ERR4678634_bin.10.fa,79.04,0.87,2757991,8024
ERR4678634_bin.12.fa,78.16,4.35,1708855,4054
ERR4678634_bin.13.fa,88.94,2.87,2254323,5895
ERR4678634_bin.14.fa,85.75,3.25,2152437,5384
ERR4678634_bin.15.fa,82.54,2.82,2427906,4817
ERR4678634_bin.2.fa,95.21,0.3,1889359,7373
ERR4678634_bin.20.fa,95.63,1.89,1883257,13024
ERR4678634_bin.23.fa,98.61,0.82,1860949,22794
ERR4678634_bin.25.fa,84.47,2.17,1756384,13151
ERR4678634_bin.26.fa,88.03,1.71,1712728,9636
ERR4678634_bin.27.fa,98.89,0.45,3640261,81443
ERR4678634_bin.28.fa,68.02,0.9,2626030,5917
ERR4678634_bin.29.fa,71.23,2.67,1987279,4948
ERR4678634_bin.3.fa,92.37,0.76,3189694,14818
ERR4678634_bin.30.fa,90.83,1.24,2210315,20457
ERR4678634_bin.31.fa,96.2,1.7,2222756,6223
ERR4678634_bin.32.fa,85.3,1.34,2202934,3703
ERR4678634_bin.33.fa,85.04,6.18,1198038,3577
ERR4678634_bin.35.fa,78.71,1.08,1888752,4095
ERR4678634_bin.36.fa,66.51,2.89,1981385,4896
ERR4678634_bin.38.fa,74.07,2.58,1576029,12222
ERR4678634_bin.39.fa,96.55,2.01,2455231,14977
ERR4678634_bin.4.fa,94.02,1.69,3686844,8104
ERR4678634_bin.41.fa,67.37,0.26,997493,4174
ERR4678634_bin.42.fa,90.68,1.7,1567360,4693
ERR4678634_bin.5.fa,76.88,3.06,2108780,4662
ERR4678634_bin.6.fa,88.92,2.83,2164013,14899
ERR4678634_bin.7.fa,79.36,5.67,1544801,6236
ERR4678634_bin.8.fa,82.56,1.85,2025641,5526
ERR4678634_bin.9.fa,68.81,1.75,1480129,6119
ERR4678675_bin.1.fa,75.29,3.12,1405635,4273
ERR4678675_bin.10.fa,68.47,0.37,2652810,197768
ERR4678675_bin.12.fa,66.25,2.12,1214769,2066
ERR4678675_bin.13.fa,77.29,3.12,1888288,4842
ERR4678675_bin.15.fa,55.41,0.85,717731,9969
ERR4678675_bin.16.fa,71.48,3.08,1450288,2606
ERR4678675_bin.18.fa,76.96,3.37,2715129,4340
ERR4678675_bin.19.fa,53.76,0.0,743826,1931
ERR4678675_bin.2.fa,87.06,3.45,1813866,4591
ERR4678675_bin.21.fa,93.26,5.82,3067935,3831
ERR4678675_bin.22.fa,64.22,0.21,1773011,4600
ERR4678675_bin.23.fa,76.78,2.52,1561876,3440
ERR4678675_bin.25.fa,95.03,1.36,2138693,6589
ERR4678675_bin.26.fa,91.5,4.18,2150139,6756
ERR4678675_bin.27.fa,87.1,3.49,2313598,5803
ERR4678675_bin.28.fa,97.76,2.0,1856025,29327
ERR4678675_bin.29.fa,56.32,0.79,1380084,2879
ERR4678675_bin.3.fa,75.83,0.0,2256418,3264
ERR4678675_bin.30.fa,98.81,0.0,1735313,36095
ERR4678675_bin.31.fa,61.18,0.85,682629,20168
ERR4678675_bin.32.fa,53.61,0.0,3191368,5473
ERR4678675_bin.34.fa,87.61,2.57,1556810,9823
ERR4678675_bin.35.fa,77.71,3.63,1660151,6686
ERR4678675_bin.37.fa,82.54,5.26,1818797,2318
ERR4678675_bin.39.fa,91.51,4.91,2649516,2907
ERR4678675_bin.4.fa,93.12,5.62,2293140,12304
ERR4678675_bin.40.fa,88.84,2.32,2286597,5844
ERR4678675_bin.41.fa,82.48,3.41,2716426,9446
ERR4678675_bin.42.fa,94.53,2.6,1954783,16819
ERR4678675_bin.43.fa,72.39,0.05,1704499,5353
ERR4678675_bin.44.fa,71.89,1.9,1642877,4219
ERR4678675_bin.46.fa,63.24,1.13,994867,1956
ERR4678675_bin.47.fa,50.69,0.0,2446747,4524
ERR4678675_bin.48.fa,94.16,0.5,1886586,33840
ERR4678675_bin.51.fa,84.69,4.46,2202322,4307
ERR4678675_bin.6.fa,77.44,1.81,1491732,4705
ERR4678675_bin.8.fa,97.91,1.05,1720459,14325
ERR4682408_bin.1.fa,84.8,2.45,1862738,5290
ERR4682408_bin.10.fa,87.76,1.14,1532174,17203
ERR4682408_bin.11.fa,95.38,5.14,4667861,11269
ERR4682408_bin.13.fa,81.14,1.74,1315553,4731
ERR4682408_bin.14.fa,92.29,1.43,1685140,74293
ERR4682408_bin.16.fa,89.97,5.31,1907664,6256
ERR4682408_bin.17.fa,94.81,2.3,2571717,13391
ERR4682408_bin.18.fa,66.26,1.3,850629,3444
ERR4682408_bin.2.fa,72.43,0.0,1005194,17715
ERR4682408_bin.21.fa,63.57,0.0,636227,25059
ERR4682408_bin.22.fa,88.38,3.67,1832453,6373
ERR4682408_bin.24.fa,77.17,1.13,2091965,4014
ERR4682408_bin.26.fa,95.1,2.79,2124691,10664
ERR4682408_bin.27.fa,92.14,4.85,2040986,6365
ERR4682408_bin.28.fa,83.0,3.56,2122281,6023
ERR4682408_bin.29.fa,97.35,4.64,2723421,14866
ERR4682408_bin.3.fa,97.6,0.69,1910789,20988
ERR4682408_bin.30.fa,98.0,3.7,1701602,10271
ERR4682408_bin.31.fa,95.45,4.9,2083468,6826
ERR4682408_bin.32.fa,62.38,0.99,815942,21305
ERR4682408_bin.34.fa,87.18,1.77,1467889,4969
ERR4682408_bin.36.fa,84.99,5.94,2570996,5348
ERR4682408_bin.37.fa,97.74,3.3,1817363,17670
ERR4682408_bin.38.fa,94.13,0.66,1790098,11633
ERR4682408_bin.4.fa,75.58,3.61,1481564,4300
ERR4682408_bin.40.fa,57.02,0.88,1338718,5296
ERR4682408_bin.41.fa,88.76,4.83,2861821,9091
ERR4682408_bin.42.fa,70.64,0.92,983374,45305
